Entidad,Atributo,Descripcion,Tipo/Dominio Oracle,Clave,Permite Nulo
EMPRESA,id_empresa,Identificador interno de la empresa.,NUMBER,PK,NO
EMPRESA,nombre,Nombre de la empresa afiliada.,VARCHAR2(150),,NO
EMPRESA,direccion,Dirección de la empresa.,VARCHAR2(250),,NO
EMPRESA,sector_economico,"Sector económico: Industria, Servicios, Comercio o Tecnología.",VARCHAR2(20),,NO
CONTACTO_EMPRESARIAL,id_contacto,Identificador interno del contacto empresarial.,NUMBER,PK,NO
CONTACTO_EMPRESARIAL,nombre,Nombre del contacto empresarial.,VARCHAR2(150),,NO
CONTACTO_EMPRESARIAL,telefono,Teléfono del contacto.,VARCHAR2(25),,NO
CONTACTO_EMPRESARIAL,correo,Correo electrónico del contacto.,VARCHAR2(150),,NO
PLAZA,id_plaza,Identificador interno de la plaza.,NUMBER,PK,NO
PLAZA,especialidad_tecnica,Especialidad técnica para la cual se ofrece la plaza.,VARCHAR2(120),,NO
INSTITUTO,id_instituto,Identificador interno del instituto.,NUMBER,PK,NO
INSTITUTO,nombre,Nombre del instituto técnico.,VARCHAR2(180),,NO
INSTITUTO,direccion,Dirección del instituto.,VARCHAR2(250),,NO
INSTITUTO,codigo_autorizacion_mineduc,Código de autorización del Ministerio de Educación.,VARCHAR2(80),UK,NO
CATEDRATICO_SUPERVISOR,id_catedratico,Identificador interno del catedrático supervisor.,NUMBER,PK,NO
CATEDRATICO_SUPERVISOR,nombre,Nombre del catedrático supervisor.,VARCHAR2(150),,NO
CATEDRATICO_SUPERVISOR,identificacion,Identificación del catedrático.,VARCHAR2(40),UK,NO
CATEDRATICO_SUPERVISOR,telefono,Teléfono del catedrático.,VARCHAR2(25),,NO
CATEDRATICO_SUPERVISOR,especialidad_supervisa,Especialidad técnica que supervisa.,VARCHAR2(120),,NO
ESTUDIANTE,id_estudiante,Identificador interno del estudiante.,NUMBER,PK,NO
ESTUDIANTE,nombre_completo,Nombre completo del estudiante.,VARCHAR2(180),,NO
ESTUDIANTE,carne,Carné del estudiante.,VARCHAR2(40),UK,NO
ESTUDIANTE,carrera_tecnica,Carrera técnica del estudiante.,VARCHAR2(120),,NO
ESTUDIANTE,direccion,Dirección de residencia.,VARCHAR2(250),,NO
ESTUDIANTE,telefono,Teléfono del estudiante.,VARCHAR2(25),,NO
ESTUDIANTE,fecha_nacimiento,Fecha de nacimiento.,DATE,,NO
ESTUDIANTE,genero,Género registrado del estudiante.,VARCHAR2(40),,NO
ESTUDIANTE,departamento_residencia,Departamento de residencia.,VARCHAR2(100),,NO
ESTUDIANTE,municipio_residencia,Municipio de residencia.,VARCHAR2(100),,NO
ESTUDIANTE,tipo_practica,Indica si corresponde a primera práctica o repitencia.,VARCHAR2(12),,NO
COLOCACION,id_colocacion,Identificador de la colocación.,NUMBER,PK,NO
COLOCACION,fecha_inicio,Fecha de inicio de la práctica.,DATE,,NO
COLOCACION,fecha_finalizacion,Fecha de finalización de la práctica.,DATE,,SI
